date,course,race_id,off,race_name,class,pattern,age_band,dist_m,going,surface,ran,num,pos,draw,ovr_btn,horse_id,horse,age,sex,lbs,hg,secs,dec,jockey_id,jockey,trainer_id,trainer,or,rpr,sire_id,sire,dam_id,dam,damsire_id,damsire
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,12,1,11,0,2537606,Amazing News (GB),6,G,120,e/s,100.59,7.90,88300,M L Yeung,16095,C Fownes,27,44,800174,Toronado (IRE),841829,Angelic Air GB,565797,Oasis Dream
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,5,2,1,1.25,2289803,Charizard (AUS),8,G,129,tb,100.84,8.40,98196,L J Ferraris,14044,A T Millard,36,50,727618,Onemorenomore (AUS),1013295,Whatsaname (AUS),14363,Ascot Knight
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,8,3,2,2.25,3032768,Regency Master (NZ),6,G,133,tb,101.04,7.70,79529,Hugh Bowman,16058,C S Shum,40,52,597619,Savabeel (AUS),755649,Lady Chaparral (NZ),546212,High Chaparral
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,7,4,4,4.5,3125336,Beauty Nova (GB),5,G,126,t,101.49,9.90,91255,V Borges,12739,J Size,33,40,864563,Territories (IRE),739841,Folly Bridge GB,567152,Avonbridge
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,3,5,6,5.25,3005143,Our Creed (NZ),6,G,121,v,101.64,4.00,101468,Angus Chung,35035,Jimmy Ting,38,43,842791,Charm Spirit (IRE),829451,Clerihew GB,68106,Lomitas
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,9,6,9,5.5,1164116,Faithful Trinity (GER),9,G,124,tb,101.69,20.00,95383,L Hewitson,28673,W Y So,31,35,736402,Wiener Walzer (GER),682947,Saaleland (GER),85578,Lando
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,2,7,8,7.5,1817915,Flash Famous (AUS),8,G,132,tb,102.09,6.10,83746,Silvestre De Sousa,15856,C H Yip,39,39,753343,Ilovethiscity (AUS),1817914,Ruparani (AUS),305033,Red Ransom
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,1,8,3,7.75,4431736,Win Win Charity (AUS),4,G,133,t,102.14,18.00,90687,C Y Ho,12762,K W Lui,40,39,561466,Medaglia dOro (USA),4431735,Yolo Girl (NZ),596550,Fastnet Rock
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,4,9,10,9.5,2943598,Star Of Glory (AUS),6,G,126,b,102.49,16.00,95720,K H Alfred Chan,20011,C W Chang,38,33,657462,Holy Roman Emperor (IRE),1150196,Sunday Lady (NZ),460016,Zabeel
2023-01-04,Happy Valley (HK),830220,10:45,Yue Man Handicap  (3yo+) (Course A) (Turf),Class 5,,3yo+,1600.0,Good,Turf,12,10,10,7,10.25,3849684,Pride Of Dragon (AUS),5,G,123,tv,102.64,30.00,88999,Ruan Maia,35043,Jamie Richards,30,23,726300,Reward For Effort (AUS),1043687,Kritisk (AUS),634802,Snippetson
